Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck
,585,345,59,6.5,3536,19,18,76.4,181,30.9,43,9,75T,38
49ers,,,,,,,,,,,,,,
,507,315,62.1,7.7,3730,25,19,86.9,184,36.3,59,7,48T,31
Bears,,,,,,,,,,,,,,
,614,362,59,5.9,3344,22,20,74.2,178,29,36,9,74T,43
Bengals,,,,,,,,,,,,,,
,561,310,55.3,6.5,3271,28,23,74.9,170,30.3,47,14,74,57
Bills,,,,,,,,,,,,,,
,613,357,58.2,7.1,4070,29,17,84.5,208,33.9,61,8,82T,41
Broncos,,,,,,,,,,,,,,
,605,363,60,6.2,3538,29,14,84.1,197,32.6,41,5,50,40
Browns,,,,,,,,,,,,,,
,547,352,64.4,7.4,3806,30,21,88.9,190,34.7,46,10,80T,35
Buccaneers,,,,,,,,,,,,,,
,625,367,58.7,6.5,3728,29,20,80.3,208,33.3,48,5,72T,47
Cardinals,,,,,,,,,,,,,,
,548,364,66.4,8,4139,23,11,96.4,208,38,58,10,74T,35
Chargers,,,,,,,,,,,,,,
,592,334,56.4,7.2,3962,25,21,78.5,189,31.9,63,16,77,47
Chiefs,,,,,,,,,,,,,,
,536,324,60.4,7.4,3711,21,15,84.6,191,35.6,51,8,81T,42
Colts,,,,,,,,,,,,,,
,623,403,64.7,7.8,4589,33,15,96,231,37.1,71,8,87,34
Cowboys,,,,,,,,,,,,,,
,580,344,59.3,6.9,3752,17,18,77.3,192,33.1,53,10,67,42
Dolphins,,,,,,,,,,,,,,
,670,408,60.9,7.3,4636,25,19,84,239,35.7,62,9,66,37
Eagles,,,,,,,,,,,,,,
,516,341,66.1,8,3897,31,10,102.4,196,38,52,17,67,32
Falcons,,,,,,,,,,,,,,
,601,361,60.1,6.3,3573,21,17,78.3,198,32.9,41,5,56,34
Giants,,,,,,,,,,,,,,
,551,354,64.2,7.6,3962,29,11,96.5,200,36.3,65,8,95T,31
Jaguars,,,,,,,,,,,,,,
,586,345,58.9,7.1,3947,26,13,86.5,198,33.8,55,15,77T,41
Jets,,,,,,,,,,,,,,
,572,338,59.1,7.3,3950,24,15,85,197,34.4,52,14,85T,33
Lions,,,,,,,,,,,,,,
,539,332,61.6,7.8,3956,30,11,95.9,190,35.3,61,8,67,44
Packers,,,,,,,,,,,,,,
,563,375,66.6,6.8,3429,17,20,81.4,178,31.6,48,8,73,60
Panthers,,,,,,,,,,,,,,
,589,336,57,7,3824,25,17,81,208,35.3,55,9,80T,48
Patriots,,,,,,,,,,,,,,
,549,374,68.1,7.9,4092,33,9,105.1,202,36.8,55,11,71T,38
Raiders,,,,,,,,,,,,,,
,521,355,68.1,8.1,3874,21,14,94.7,203,39,51,11,81T,53
Rams,,,,,,,,,,,,,,
,552,314,56.9,7.1,3681,25,16,82.2,176,31.9,50,17,79T,40
Ravens,,,,,,,,,,,,,,
Redskins,514,337,65.6,8,3896,29,16,96.1,204,39.7,58,7,57,36
,507,304,60,6.8,3105,20,12,83.6,168,33.1,40,10,60,49
Saints,,,,,,,,,,,,,,
,524,309,59,5.8,2752,16,28,63.4,156,29.8,30,3,73T,44
Seahawks,,,,,,,,,,,,,,
,569,329,57.8,6.6,3553,21,10,82.7,174,30.6,46,12,81T,34
Steelers,,,,,,,,,,,,,,
,484,287,59.3,6.8,3123,29,7,93.9,158,32.6,37,10,64T,32
Texans,,,,,,,,,,,,,,
,545,344,63.1,7,3612,15,13,83.3,191,35,49,3,55,36
Titans,,,,,,,,,,,,,,
,648,419,64.7,7.5,4595,37,12,98.6,247,38.1,57,9,80T,41
Vikings,,,,,,,,,,,,,,
